Date,load,zone
1/3/18 3:00,2907,PSEI
1/3/18 3:00,8879,SCE
1/3/18 3:00,1761,SDGE
1/3/18 3:00,77,VEA
1/3/18 4:00,2804,AZPS
1/3/18 4:00,20427,CA ISO
1/3/18 4:00,3434,NEVP
1/3/18 4:00,5133,PACE
1/3/18 4:00,2377,PACW
1/3/18 4:00,9475,PGE
1/3/18 4:00,2317,PGE-NEW
1/3/18 4:00,3090,PSEI
1/3/18 4:00,9048,SCE
1/3/18 4:00,1821,SDGE
1/3/18 4:00,83,VEA
1/3/18 5:00,3051,AZPS
1/3/18 5:00,21566,CA ISO
1/3/18 5:00,3582,NEVP
1/3/18 5:00,5510,PACE
1/3/18 5:00,2611,PACW
1/3/18 5:00,9884,PGE
1/3/18 5:00,2557,PGE-NEW
1/3/18 5:00,3438,PSEI
1/3/18 5:00,9632,SCE
1/3/18 5:00,1958,SDGE
1/3/18 5:00,92,VEA
1/3/18 6:00,3187,AZPS
1/3/18 6:00,23703,CA ISO
1/3/18 6:00,3771,NEVP
1/3/18 6:00,5863,PACE
1/3/18 6:00,2973,PACW
1/3/18 6:00,10872,PGE
1/3/18 6:00,2898,PGE-NEW
1/3/18 6:00,3866,PSEI
1/3/18 6:00,10538,SCE
1/3/18 6:00,2192,SDGE
1/3/18 6:00,101,VEA
1/3/18 7:00,3098,AZPS
1/3/18 7:00,25019,CA ISO
1/3/18 7:00,3819,NEVP
1/3/18 7:00,5898,PACE
1/3/18 7:00,3200,PACW
1/3/18 7:00,11626,PGE
1/3/18 7:00,3123,PGE-NEW
1/3/18 7:00,4150,PSEI
1/3/18 7:00,10967,SCE
1/3/18 7:00,2322,SDGE
1/3/18 7:00,104,VEA
1/3/18 8:00,2968,AZPS
1/3/18 8:00,25290,CA ISO
1/3/18 8:00,3831,NEVP
1/3/18 8:00,5823,PACE
1/3/18 8:00,3201,PACW
1/3/18 8:00,11642,PGE
1/3/18 8:00,3118,PGE-NEW
1/3/18 8:00,4149,PSEI
1/3/18 8:00,11207,SCE
1/3/18 8:00,2347,SDGE
1/3/18 8:00,94,VEA
1/3/18 9:00,2824,AZPS
1/3/18 9:00,25649,CA ISO
1/3/18 9:00,3823,NEVP
1/3/18 9:00,5713,PACE
1/3/18 9:00,3160,PACW
1/3/18 9:00,11639,PGE
1/3/18 9:00,3095,PGE-NEW
1/3/18 9:00,4029,PSEI
1/3/18 9:00,11421,SCE
1/3/18 9:00,2504,SDGE
1/3/18 9:00,85,VEA
1/3/18 10:00,2625,AZPS
1/3/18 10:00,25882,CA ISO
1/3/18 10:00,3722,NEVP
1/3/18 10:00,5583,PACE
1/3/18 10:00,3084,PACW
1/3/18 10:00,11668,PGE
1/3/18 10:00,3062,PGE-NEW
1/3/18 10:00,3890,PSEI
1/3/18 10:00,11610,SCE
1/3/18 10:00,2529,SDGE
1/3/18 10:00,75,VEA
1/3/18 11:00,2554,AZPS
1/3/18 11:00,25944,CA ISO
1/3/18 11:00,3639,NEVP
1/3/18 11:00,5471,PACE
1/3/18 11:00,3008,PACW
1/3/18 11:00,11798,PGE
1/3/18 11:00,3028,PGE-NEW
1/3/18 11:00,3747,PSEI
1/3/18 11:00,11629,SCE
1/3/18 11:00,2450,SDGE
1/3/18 11:00,67,VEA
1/3/18 12:00,2565,AZPS
1/3/18 12:00,26172,CA ISO
1/3/18 12:00,3613,NEVP
1/3/18 12:00,5422,PACE
1/3/18 12:00,2945,PACW
1/3/18 12:00,11977,PGE
1/3/18 12:00,2999,PGE-NEW
1/3/18 12:00,3627,PSEI
1/3/18 12:00,11645,SCE
1/3/18 12:00,2490,SDGE
1/3/18 12:00,60,VEA
1/3/18 13:00,2628,AZPS
1/3/18 13:00,26341,CA ISO
1/3/18 13:00,3610,NEVP
1/3/18 13:00,5391,PACE
1/3/18 13:00,2876,PACW
1/3/18 13:00,12085,PGE
1/3/18 13:00,2944,PGE-NEW
1/3/18 13:00,3531,PSEI
1/3/18 13:00,11712,SCE
1/3/18 13:00,2487,SDGE
1/3/18 13:00,57,VEA
1/3/18 14:00,2675,AZPS
1/3/18 14:00,26331,CA ISO
1/3/18 14:00,3635,NEVP
1/3/18 14:00,5401,PACE
1/3/18 14:00,2817,PACW
1/3/18 14:00,12127,PGE
1/3/18 14:00,2873,PGE-NEW
1/3/18 14:00,3473,PSEI
1/3/18 14:00,11650,SCE
1/3/18 14:00,2499,SDGE
1/3/18 14:00,55,VEA
1/3/18 15:00,2763,AZPS
1/3/18 15:00,26327,CA ISO
1/3/18 15:00,3657,NEVP
1/3/18 15:00,5525,PACE
1/3/18 15:00,2815,PACW
1/3/18 15:00,12071,PGE
1/3/18 15:00,2855,PGE-NEW
1/3/18 15:00,3520,PSEI
